sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
212041563,Dandenong - North,Outer / growth corridor,145.215474,-37.981274,23327,1.6,56.59,132,High
211021261,Donvale - Park Orchards,Outer / growth corridor,145.203058,-37.784557,16894,0.9,50.91,86,High
211021262,Warrandyte - Wonga Park,Outer / growth corridor,145.242884,-37.743079,10229,0.2,78.21,80,High
211031263,Bayswater North,Outer / growth corridor,145.292897,-37.828466,12097,0.7,69.44,84,High
211031265,Croydon Hills - Warranwood,Outer / growth corridor,145.26873,-37.77294,18457,0.6,37.93,70,Moderate
212041564,Dandenong - South,Outer / growth corridor,145.208901,-38.037719,10039,0.5,128.5,129,High
212041565,Keysborough - North,Outer / growth corridor,145.172063,-37.989957,15067,0.1,49.78,75,High
211031451,Croydon - West,Outer / growth corridor,145.278441,-37.788863,14940,1,44.85,67,Moderate
211031452,Croydon South,Outer / growth corridor,145.279329,-37.815073,5147,0.6,29.14,15,Moderate
211041269,Forest Hill,Outer / growth corridor,145.171054,-37.839857,11256,0.7,46.2,52,High
211041270,Mitcham (Vic.),Outer / growth corridor,145.199014,-37.818164,17496,0.4,53.16,93,High
211041271,Nunawading,Outer / growth corridor,145.176536,-37.817349,13247,0.4,53.6,71,High
211041272,Vermont,Outer / growth corridor,145.199297,-37.838419,11435,0.9,43.73,50,Moderate
212041566,Keysborough - South,Outer / growth corridor,145.161651,-38.021375,17117,1.7,25.71,44,Moderate
212051319,Ashwood - Chadstone,Outer / growth corridor,145.101458,-37.872414,21139,1.3,31.22,66,Moderate
212051321,Glen Waverley - East,Outer / growth corridor,145.178322,-37.88151,22820,0.8,35.93,82,Moderate
212051322,Glen Waverley - West,Outer / growth corridor,145.156076,-37.881689,23417,1.3,38.86,91,Moderate
211041273,Vermont South,Outer / growth corridor,145.187823,-37.854374,12250,0.1,41.63,51,Moderate
212051323,Mount Waverley - North,Outer / growth corridor,145.13024,-37.866447,17492,2,29.73,52,Moderate
211051274,Belgrave - Selby,Outer / growth corridor,145.355154,-37.938717,9964,0.1,78.28,78,High
211051275,Chirnside Park,Outer / growth corridor,145.314321,-37.738589,12603,1,30.95,39,Moderate
211051276,Healesville - Yarra Glen,Outer / growth corridor,145.49619,-37.626122,14116,0.8,34.0,48,Moderate
211051277,Kilsyth,Outer / growth corridor,145.320346,-37.815414,10692,0.4,51.44,55,High
211051278,Lilydale - Coldstream,Outer / growth corridor,145.388832,-37.713786,20905,2,48.79,102,High
211051279,Monbulk - Silvan,Outer / growth corridor,145.458734,-37.864069,5840,0.6,44.52,26,Moderate
211051280,Montrose,Outer / growth corridor,145.347953,-37.811123,6904,0.2,56.49,39,High
212051324,Mount Waverley - South,Outer / growth corridor,145.127209,-37.887251,20659,0.7,33.4,69,Moderate
211051281,Mooroolbark,Outer / growth corridor,145.325678,-37.781325,24395,0.8,18.45,45,Low
211051282,Mount Dandenong - Olinda,Outer / growth corridor,145.375686,-37.861828,9587,0.1,140.82,135,High
211051283,Mount Evelyn,Outer / growth corridor,145.388217,-37.787278,10043,0.5,40.82,41,Moderate
211051284,Upwey - Tecoma,Outer / growth corridor,145.330737,-37.904236,9867,0.4,53.71,53,High
211051285,Wandin - Seville,Outer / growth corridor,145.463977,-37.760631,7996,0.3,32.52,26,Moderate
211051286,Yarra Valley,Outer / growth corridor,145.680257,-37.767945,17087,0.4,46.23,79,High
212011289,Emerald - Cockatoo,Outer / growth corridor,145.561645,-37.953135,19043,0.7,43.06,82,Moderate
212011546,Beaconsfield - Officer,Outer / growth corridor,145.400398,-38.042338,29524,4.3,21.0,62,Moderate
212011547,Bunyip - Garfield,Outer / growth corridor,145.646977,-38.079898,10366,1.4,12.54,13,Low
212011548,Koo Wee Rup,Outer / growth corridor,145.551462,-38.207377,12598,5.1,3.97,5,Very low
212011549,Pakenham - North East,Outer / growth corridor,145.506764,-38.053017,16593,1.7,26.52,44,Moderate
212011550,Pakenham - North West,Outer / growth corridor,145.454028,-38.041632,10502,9.1,8.57,9,Very low
212011551,Pakenham - South East,Outer / growth corridor,145.515504,-38.093845,6778,1.5,51.64,35,High
212011552,Pakenham - South West,Outer / growth corridor,145.465075,-38.091601,28194,0.1,29.44,83,Moderate
212021293,Berwick - North,Outer / growth corridor,145.348843,-38.025124,23637,-0.5,55.84,132,High
212021295,Doveton,Outer / growth corridor,145.240206,-37.990589,12893,1.3,35.68,46,Moderate
212021297,Hallam,Outer / growth corridor,145.268501,-38.007736,12009,0.9,47.46,57,High
212021299,Narre Warren North,Outer / growth corridor,145.33041,-37.986296,8237,0.9,24.28,20,Moderate
212021453,Endeavour Hills - North,Outer / growth corridor,145.258033,-37.959456,12175,0.5,44.35,54,Moderate
212021454,Endeavour Hills - South,Outer / growth corridor,145.260803,-37.983364,13539,-0.2,55.4,75,High
212021455,Narre Warren - North East,Outer / growth corridor,145.30943,-38.005042,13618,0.1,31.58,43,Moderate
212021456,Narre Warren - South West,Outer / growth corridor,145.304085,-38.02479,15484,0.5,47.79,74,High
212021553,Berwick - South East,Outer / growth corridor,145.356714,-38.064488,20765,4.1,32.27,67,Moderate
212021554,Berwick - South West,Outer / growth corridor,145.33041,-38.054556,13243,3.9,20.39,27,Moderate
212031300,Cranbourne,Outer / growth corridor,145.275715,-38.106883,22708,1.1,33.03,75,Moderate
212031303,Cranbourne South,Outer / growth corridor,145.312927,-38.151434,27368,11.6,24.12,66,Moderate
