path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206051511-0,206051511,Port Melbourne Industrial,High,22.6,7,144.91264,-37.84999
206051511-0,206051511,Port Melbourne Industrial,High,22.6,8,144.91733,-37.84745
206051511-0,206051511,Port Melbourne Industrial,High,22.6,9,144.91247,-37.84098
206051511-0,206051511,Port Melbourne Industrial,High,22.6,10,144.91485,-37.83693
206051511-0,206051511,Port Melbourne Industrial,High,22.6,11,144.9457,-37.83055
206051511-0,206051511,Port Melbourne Industrial,High,22.6,12,144.94966,-37.834
206051511-0,206051511,Port Melbourne Industrial,High,22.6,13,144.95719,-37.8284
206051511-0,206051511,Port Melbourne Industrial,High,22.6,14,144.9174,-37.82037
206051511-0,206051511,Port Melbourne Industrial,High,22.6,15,144.9158,-37.8206
206051512-0,206051512,South Melbourne,Moderate,2.4,0,144.9521,-37.83273
206051512-0,206051512,South Melbourne,Moderate,2.4,1,144.94707,-37.84131
206051512-0,206051512,South Melbourne,Moderate,2.4,2,144.95691,-37.83722
206051512-0,206051512,South Melbourne,Moderate,2.4,3,144.95921,-37.84216
206051512-0,206051512,South Melbourne,Moderate,2.4,4,144.97022,-37.83603
206051512-0,206051512,South Melbourne,Moderate,2.4,5,144.97133,-37.82988
206051512-0,206051512,South Melbourne,Moderate,2.4,6,144.96585,-37.83147
206051512-0,206051512,South Melbourne,Moderate,2.4,7,144.96139,-37.82805
206051512-0,206051512,South Melbourne,Moderate,2.4,8,144.95408,-37.83107
206051512-0,206051512,South Melbourne,Moderate,2.4,9,144.9521,-37.83273
206051513-0,206051513,St Kilda - Central,Moderate,2.7,0,144.98225,-37.86154
206051513-0,206051513,St Kilda - Central,Moderate,2.7,1,144.97988,-37.87416
206051513-0,206051513,St Kilda - Central,Moderate,2.7,2,144.99,-37.8703
206051513-0,206051513,St Kilda - Central,Moderate,2.7,3,144.99263,-37.86158
206051513-0,206051513,St Kilda - Central,Moderate,2.7,4,144.99328,-37.85789
206051513-0,206051513,St Kilda - Central,Moderate,2.7,5,144.98258,-37.85551
206051513-0,206051513,St Kilda - Central,Moderate,2.7,6,144.98226,-37.86149
206051513-0,206051513,St Kilda - Central,Moderate,2.7,7,144.98225,-37.86154
206051514-0,206051514,St Kilda - West,Moderate,2.2,0,144.97031,-37.86077
206051514-0,206051514,St Kilda - West,Moderate,2.2,1,144.97566,-37.87039
206051514-0,206051514,St Kilda - West,Moderate,2.2,2,144.97451,-37.87626
206051514-0,206051514,St Kilda - West,Moderate,2.2,3,144.97988,-37.87416
206051514-0,206051514,St Kilda - West,Moderate,2.2,4,144.98421,-37.85065
206051514-0,206051514,St Kilda - West,Moderate,2.2,5,144.96828,-37.85438
206051514-0,206051514,St Kilda - West,Moderate,2.2,6,144.96569,-37.85749
206051514-0,206051514,St Kilda - West,Moderate,2.2,7,144.97018,-37.8607
206051514-0,206051514,St Kilda - West,Moderate,2.2,8,144.97031,-37.86077
206061135-0,206061135,Armadale,High,1,0,145.01167,-37.85357
206061135-0,206061135,Armadale,High,1,1,145.01053,-37.86021
206061135-0,206061135,Armadale,High,1,2,145.02769,-37.86631
206061135-0,206061135,Armadale,High,1,3,145.03006,-37.85161
206061135-0,206061135,Armadale,High,1,4,145.01232,-37.84927
206061135-0,206061135,Armadale,High,1,5,145.01177,-37.85294
206061135-0,206061135,Armadale,High,1,6,145.01167,-37.85357
206061136-0,206061136,Prahran - Windsor,Moderate,1.6,0,145.00717,-37.8486
206061136-0,206061136,Prahran - Windsor,Moderate,1.6,1,144.98503,-37.84567
